7zip 26.00-1
a52dec 0.8.0-2
abseil-cpp 20250814.1-1
accountsservice 25.34.76-2
acl 2.3.2-1
acpi 1.8-2
adwaita-cursors 49.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.10-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
aom 3.13.1-2
arandr 0.1.11-6
arc-gtk-theme-eos 20221218-2
archlinux-keyring 20260301-1
archlinux-xdg-menu 0.7.7-1
archlinuxcn-keyring 20250531-1
argon2 20190702-6
aspell 0.60.8.2-1
at-spi2-core 2.58.3-1
attr 2.5.2-1
audit 4.1.2-2
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc3-1
awesome-terminal-fonts 1.1.0-5
b43-fwcutter 019-6
baidupcs-go 4.0.0-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bc 1.08.2-1
bind 9.20.20-1
binutils 2.46-1
bison 3.8.2-8
bluez 5.86-4
bluez-libs 5.86-4
bluez-utils 5.86-4
boost-libs 1.89.0-4
brightnessctl 0.5.1-3
brotli 1.2.0-1
btrfs-progs 6.19-1
bubblewrap 0.11.0-2
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.121-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.311-1
chromaprint 1.6.0-2
cifs-utils 7.4-1
clucene 2.3.3.4-17
confuse 3.3-4
coreutils 9.10-1
cpio 2.15-3
cryptsetup 2.8.4-1
curl 8.18.0-3
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
dex 0.10.1-1
diffutils 3.12-2
ding-libs 0.6.2-2
dmenu 5.4-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.92-1
dnssec-anchors 20250524-1
dosfstools 4.2-5
double-conversion 3.4.0-1
downgrade 11.8.1-1
dracut 109_eos-1
duf 0.9.1-1
duktape 2.7.0-7
dunst 1.13.1-1
e2fsprogs 1.47.3-2
efibootmgr 18-3
efitools 1.9.2-6
efivar 39-1
ell 0.82-1
emacs 30.2-1
enchant 2.8.14-1
endeavouros-branding 25.11.1.1-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 26-1
eos-apps-info 25.12-1
eos-bash-shared 26.2.1-1
eos-hooks 1.16.2-1
eos-lightdm-slick-theme 3.4-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-qogir-icons 2025.02.15-3
eos-quickstart 1.4.1-1
eos-rankmirrors 26-1
eos-reboot-recommended 25.12.1-1
eos-settings-i3wm 5.2-1
eos-translations 26-1
eos-update 26.1.3-1
ethtool 1:6.19-1
ex-vi-compat 2-1
exfatprogs 1.3.1-1
exo 4.20.0-2
expac 10-12
expat 2.7.4-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.2-1
fcitx5 5.1.17-1
fcitx5-chinese-addons 5.1.11-1
fcitx5-configtool 5.1.12-3
fcitx5-gtk 5.1.5-1
fcitx5-qt 5.1.12-2
fd 10.3.0-2
feh 3.11.3-1
ffmpeg 2:8.0.1-7
ffmpegthumbnailer 2.3.0-1
fftw 3.3.10-8
file 5.47-1
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 148.0-1
flac 1.5.0-1
flex 2.6.4-5
fluidsynth 2.5.2-1
fontconfig 2:2.17.1-1
freetype2 2.14.1-2
fribidi 1.0.16-2
